transaction_id,account_id,transaction_date,transaction_type,description,transaction_amount,transaction_reference_id,utr_number
a275e0eb-2e87-d9cd-9e24-2cad2c7b78d0,423ac11b-0b0e-2095-6753-17e4b5b84324,2024-07-05 23:44:22.000000,credit,IMPS/P2A/511833644597/TMBL/918020101986700/00/INET/9211/GAUTAM SINGH,₹0.00,S19193327,TtyAcXBPZ662l1laP0S3ShwZjiHoD9XtjwIS6nGnB7ZvavKI+K04
392ba871-5073-11c3-d8f1-a2c63bf43435,2b56f3ac-8091-40f0-3965-dadfa6fc42e7,2024-08-25 15:49:54.000000,debit,NEFT/458454866218/KKBK/PARESH VIKRANT GHASE,₹0.00,S51711650,KKDVnN2rdGMWFTnN7vBjIqyxkR5r2NEqqsOUBiu8nD
3107ebbe-4eb0-7e4b-f355-6144c077ae6f,8228dbc1-0824-2125-4640-93b9d3ed52c8,2024-09-16 05:38:58.000000,credit,IMPS/P2A/635232851928/HDFC/918020101986700/00/INET/9211/SELECTIONMALIGAI,₹0.00,S93413644,
1b427ee4-ac70-42c2-55b6-5a6886359d91,5a64d576-e507-1266-0a87-6326909a483e,2024-10-22 03:43:20.000000,credit,UPI-SELECTION MOBILE-XXXXXX6884-ICIC0002125-135101639535,₹0.00,S4493084,0y7gvKd+MJ1ukTFnUCpPaZYzomoEXslmrEPINJsckFbp/
1f411f9f-3ccc-8145-2c94-7c8929017abf,424f1bd2-ad27-0ddd-6b9f-53b5532fa65f,2024-11-13 22:59:57.000000,debit,NEFT  - UBIN0001241 - 69532286 - 124105002702 - SELECT CITY SAKET DELHI,₹0.00,S21890828,bPV8BEskCxQKzJcdJfZe3Fz2wzrDN6Ha0aJQYc/8N2ZKfQe5BEu/jiog
9eed1c4f-ca5a-ed88-8e4d-917794cd57d7,31bc601f-e01c-385f-1294-f31394999a45,2024-12-06 02:13:41.000000,credit,NEFT/449531741772/TMBL/SELECTIONMALIGAI,₹0.00,S63511854,
66ac430a-7323-4af1-1e54-988e94cc8334,d8133f40-e1f6-0436-98d7-73a240f1576d,2025-01-19 05:26:52.000000,credit,NEFT/578742210723/UBIN/SELECTRICITY TWO PRIVATE LIMITED,₹0.00,S44124065,
424057e6-7db5-8f73-968c-dc592edd97e4,5a64d576-e507-1266-0a87-6326909a483e,2025-02-03 06:01:38.000000,debit,IMPS/P2A/595309474501/SBIN/918020101986700/00/INET/9211/SELECT CITY SAKET DELHI,₹0.00,S71615101,
4bd8c25c-c8b0-75df-f06a-fe39baa5ca81,a96a98fd-e22b-522c-af92-5f1be1a94f8f,2025-03-22 12:24:28.000000,credit,NEFT  - KKBK0001241 - 12653225 - 124105002702 - SELECTION ELECTRONICS,₹0.00,S39306128,
e4f24689-635d-7388-86fb-d7f885c870fc,2aa22392-9b2c-b766-1095-5e0d0199bc7e,2025-04-02 14:00:47.000000,credit,IMPS/P2A/396985577898/ICIC/918020101986700/00/INET/9211/PARESH VIKRANT GHASE,₹0.00,S5186037,jlwNcoo7ipr1xPRk1ai47Ib0SkcYNOWeN3zz83axJxF0BUp
4aa54c35-100f-ff85-3ee6-2c3088a46043,6d55974a-a614-424b-80f1-d2b178a90f7b,2025-05-15 15:43:36.000000,debit,IMPS/P2A/284989631500/KKBK/918020101986700/00/INET/9211/SELECTION MOBILE,₹0.00,S51879782,
8eb9c014-c64e-6691-4a9b-74e393e66544,d8948b87-39a3-4a20-5ca0-3abfd54746aa,2025-06-07 11:25:57.000000,credit,UPI-SELECTION MOBILE-XXXXXX3976-SBIN0002125-593449392516,₹0.00,S69448807,
4e6b6a8c-eabd-832e-7fc7-05dc9ef1fd3a,57212b73-c71b-3711-bc37-1ac374ecbe43,2025-07-25 12:02:08.000000,credit,FT -  86612945 -  50200013729069 - GAUTAM SINGH,₹0.00,S65137613,teVVEG6myB7IwYxxUpTZgyGZo5aV5rY0msc4RtGTP4MKGupPlTt1u
637383e9-6bb0-dc24-3a4f-899a17f7a700,d8133f40-e1f6-0436-98d7-73a240f1576d,2025-08-14 13:45:11.000000,credit,NEFT  - UTIB0001241 - 52113724 - 124105002702 - SELECTIONMALIGAI,₹0.00,S72193411,
ba86ffc0-ffc4-070d-8fd5-57421754d5c9,f3de4143-4b71-85a4-2d72-0b856cfdf13e,2025-09-14 17:44:29.000000,debit,FT -  73535190 -  50200013729069 - SELECTION MOBILE,₹0.00,S26986416,
75117152-42e5-74ea-30e8-a3dace5a16fd,57054cc9-340a-8491-c771-e83d9d9e23e7,2025-10-31 15:32:09.000000,debit,FT -  24879326 -  50200013729069 - SELECTRICITY TWO PRIVATE LIMITED,₹0.00,S9562637,
530c083c-2e6e-2c8c-886b-e639413f2367,fe1ec28d-7cb0-944f-a856-b9666a5ad981,2025-11-08 16:39:07.000000,credit,UPI-SELECT CITY SAKET DELHI-XXXXXX7921-RATN0002125-844797143658,₹0.00,S85719285,vky88WF+c4Bx2TLcpuf02klMV/DMvAdfddpbd6YS8gWnM32P7Q
2ec7e9ae-429c-119e-6fb9-1bf21ae8ad4c,a96a98fd-e22b-522c-af92-5f1be1a94f8f,2025-12-14 09:55:43.000000,debit,IMPS/P2A/484976714016/TMBL/918020101986700/00/INET/9211/PARESH VIKRANT GHASE,₹0.00,S54059144,XSJs104kyrJOqKkRcxryUqGauYoPbWDimn3fN0tZJ3
9af05453-2ce2-4292-cda7-69f11aeb504d,7eda57aa-1ba0-47a8-cec9-4d8ecfa8420b,2026-01-31 01:09:15.000000,credit,FT -  70058474 -  50200013729069 - SELECTRICITY TWO PRIVATE LIMITED,₹0.00,S98322116,
bade076a-479f-065e-a56f-0d1e6a737754,2aa22392-9b2c-b766-1095-5e0d0199bc7e,2026-02-14 19:03:43.000000,debit,FT -  67370236 -  50200013729069 - UMANG SELECTION,₹0.00,S8141873,12VrYKI81rp8KMZIEjnpYRsBYgEUkOFOPQlVC0H4rJWaWL9LxuA
85fbd0fc-f1b5-12a1-7aa2-93af94c71400,391347c4-119c-f099-6c80-1521d6271cf6,2026-03-31 10:52:30.000000,credit,FT -  66975426 -  50200013729069 - SELECT CITY SAKET DELHI,₹0.00,S21245171,HK8QrY7tBRMQu1GUYYlafztov30O5soxXkygdaSjDX9+idqES
a229abc9-40ff-6b1d-060d-b593e6e708bd,da343455-d73a-dc61-e247-af7e0cfe6821,2026-04-17 05:45:01.000000,credit,NEFT/887550665662/ICIC/RELIANCEDIGITAL RETAIL LTD,₹0.00,S79395362,U+3uYhZKzlWwVmLRVQSnzISd7tl3SJnow7pbkxuiECBPn2v08HHAV6CrIXGa
8001e13d-9728-e6c2-3736-b11ae170d6e0,fe86b954-b73f-7cd8-4e91-6411541a6335,2026-05-24 09:11:00.000000,credit,UPI-RELIANCEDIGITAL RETAIL LTD-XXXXXX3140-AUBL0002125-957907456061,₹0.00,S89242437,
03e2c575-9555-e42d-8347-7f986a7bc83c,c74096ca-5edc-97b6-98ee-66bde4d6b951,2026-06-12 11:36:07.000000,credit,IMPS/P2A/378610138098/UBIN/918020101986700/00/INET/9211/SELECT CITY SAKET DELHI,₹0.00,S35935396,
50dfcf8c-813f-c404-15c4-c38d9c0c67b2,5a64d576-e507-1266-0a87-6326909a483e,2024-07-07 13:01:33.000000,credit,UPI-SELECTRICITY TWO PRIVATE LIMITED-XXXXXX3450-SBIN0002125-345207319307,₹0.00,S75492800,F0Xm6bjBV8Vn/IYwlmS6wQBijw5YZCIDeJgkiFoS2mh0F8Q98mIjnFZTXO
bec2eb07-bf33-03bb-cb15-39fd3d031448,59aad591-57f3-5379-d516-a330c6793b29,2024-08-11 19:21:43.000000,credit,IMPS/P2A/877585526768/CNRB/918020101986700/00/INET/9211/UMANG SELECTION,"(₹15,104.50)",S65739380,
a662c080-7436-610d-e285-f948f721867b,178c8d70-04b8-ef83-41a7-910fc155267f,2024-09-14 20:23:36.000000,credit,UPI-SELECT CITY SAKET DELHI-XXXXXX1320-HDFC0002125-105365926689,"(₹30,352.50)",S78224427,fP4rk9n/WNuRNccpriZEL1fKoAb53R836TLxh4grxKxy
0857051d-7919-c668-c504-3fce73dfa0a4,7cf6e314-1e30-8359-ff69-9980be3fdf41,2024-10-06 07:53:19.000000,debit,UPI-SELECTION ELECTRONICS-XXXXXX7088-UTIB0002125-962325090788,"(₹29,999.50)",S75293539,u9ic8xC09Dl5yMejWfI/FVo65KNYdrEBZWRCKp6gTT
